"mapruleid","shortname","network","allowedservergeo","excludedserverGeo"
"322","srip4","srip","",""
"324","srip6","srip","",""
"327","srip9","srip","",""
"328","srip10","srip","",""
"329","llns1","freeflow","",""
"330","llns1","essl","",""
"332","b","freeflow","",""
"333","v","freeflow","",""
"334","t","freeflow","",""
"335","z","freeflow","",""
"336","s16","essl","",""
"337","s17","essl","",""
"338","s18","essl","",""
"339","s19","essl","",""
"340","s20","essl","",""
"341","s31","freeflow","",""
"342","s32","freeflow","",""
"343","s33","freeflow","",""
"344","s34","freeflow","",""
"345","s35","freeflow","",""
"346","s36","freeflow","",""
"347","s37","freeflow","",""
"348","s38","freeflow","",""
"349","s39","freeflow","",""
"350","s40","freeflow","",""
"351","s41","freeflow","",""
"352","s42","freeflow","",""
"353","s43","freeflow","",""
"354","s44","freeflow","",""
"355","s45","freeflow","",""
"356","s46","freeflow","",""
"357","s47","freeflow","",""
"358","s48","freeflow","",""
"359","s49","freeflow","",""
"360","s50","freeflow","",""
"361","chw","freeflow","",""
"362","chausw","freeflow","",""
"363","chwusw","freeflow","",""
"364","cheuw","freeflow","",""
"365","chapacw","freeflow","",""
"366","cheusw","freeflow","",""
"367","chcusw","freeflow","",""
"368","ch2w","freeflow","",""
"369","cheus2w","freeflow","",""
"370","chcus2w","freeflow","",""
"371","chwus2w","freeflow","",""
"372","cheu2w","freeflow","",""
"373","chw","essl","",""
"374","chws","freeflow","",""
"375","chws","essl","",""
"378","pchde","essl","CONUS",""
"379","pi6de","essl","CONUS",""
"380","pde","essl","CONUS",""
"381","cha3","freeflow","",""
"382","cha4","freeflow","",""
"383","chb1","freeflow","",""
"384","chb2","freeflow","",""
"385","chb3","freeflow","",""
"386","chb4","freeflow","",""
"387","chc1","freeflow","",""
"388","chc2","freeflow","",""
"389","chc3","freeflow","",""
"390","chc4","freeflow","",""
"391","chd1","freeflow","",""
"392","chd2","freeflow","",""
"393","chd3","freeflow","",""
"394","chd4","freeflow","",""
"399","chf1","freeflow","",""
"400","chf2","freeflow","",""
