"shortname"
"c"
"us"
"mm1"
"mm2"
"mm3"
"da1"
"da2"
"gi3"
"d"
"h"
"t"
"tx"
"w4"
"w5"
"w25"
"w48"
"g3"
"i6d"
"w56"
"w65"
"w66"
"w67"
"w68"
"w69"
"w80"
"i6c"
"dscc"
"i6da1"
"dscda1"
"i6da2"
"dscda2"
"dspda2"
"i6gi3"
"dscgi3"
"i6g3"
"dscg3"
"dscmm2"
"dsch"
"i6w5"
"dscw5"
"i6us"
"i6w4"
"i6w48"
"i6w56"
"i6w65"
"i6w66"
"i6w67"
"i6w68"
"i6w69"
"i6w80"
"dscus"
"dscw4"
"dscw25"
"dscw48"
"dscw65"
"dscw66"
"dscw67"
"dscw68"
"dscw69"
"dscw80"
"dspw65"
"w105"
"w106"
"w107"
"w108"
"i6w105"
"i6w106"
"i6w107"
"i6w108"
"w141"
"w155"
"i6w141"
"i6w155"
"dscw141"
